mcc,mcc_range_start,mcc_range_end,mcc_range_description,mcc_range_reserved_flag,iso_description,usda_description,stripe_description,stripe_code,visa_req_clearing_name,alipay_description,mastercard_description,mastercard_abbreviated_airline_name,amex_description,visa_mcc,visa_mcc_title,visa_mcc_description,visa_included_in_mcc,human_assigned_coicop_label
3082,3000,3999,Reserved for private use,True,,KOREAN AIRLINES,,,KOREAN AIR,,Korean Airlines,KOREAN,KOREAN AIRLINES,3082,KOREAN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3083,3000,3999,Reserved for private use,True,,AIR AFRIGUE,,,AIR AFRIQUE,,Air Afrique,AIR AFRIQ,AIR AFRIQUE,3083,AIR AFRIQUE,,,PASSENGER TRANSPORT SERVICES - AIR
3084,3000,3999,Reserved for private use,True,,EVA AIRLINES,,,EVA AIR,,Eva Airways,EVA AIR,EVA AIRWAYS,3084,EVA AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3085,3000,3999,Reserved for private use,True,,"MIDWEST EXPRESS AIRLINES, INC.",,,MIDWEST EXP,,Midwest Express Airlines,MIDWEST,MIDWEST EXPRESS AIRLINES,3085,MIDWEST EXPRESS AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3086,3000,3999,Reserved for private use,True,,,,,CARNIVAL AIR,,,,CARNIVAL AIRLINES,3086,CARNIVAL AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3087,3000,3999,Reserved for private use,True,,METRO AIRLINES,,,METRO AIR,,Metro Airlines,METROAI,METRO AIRLINES,3087,METRO AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3088,3000,3999,Reserved for private use,True,,CROATIA AIRLINES,,,CROATIA AIR,,Croatia Air,CROATIA,CROATIA AIRLINES,3088,CROATIA AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3089,3000,3999,Reserved for private use,True,,TRANSAERO,,,TRANSAERO,,Transaero,TRANSAERO,TRANSAERO,3089,TRANSAERO,,,PASSENGER TRANSPORT SERVICES - AIR
3090,3000,3999,Reserved for private use,True,,,,,UNIAIR,,Uni Airways,UNIAIR,UNI AIRWAYS CORPORATION,3090,UNI AIRWAYS CORPORATION,,,PASSENGER TRANSPORT SERVICES - AIR
3091,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3092,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3093,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3094,3000,3999,Reserved for private use,True,,ZAMBIA AIRWAYS,,,ZAMBIA AIR,,Zambia Airways,ZAMBIA A,ZAMBIA AIRWAYS,3094,ZAMBIA AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3095,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3096,3000,3999,Reserved for private use,True,,AIR ZIMBABWE,,,AIR ZIMBABWE,,Air Zimbabwe,AIRZIMBA,AIR ZIMBABWE,3096,AIR ZIMBABWE,,,PASSENGER TRANSPORT SERVICES - AIR
3097,3000,3999,Reserved for private use,True,,,,,SPANAIR,,Spanair,SPANAIR,SPANAIR,3097,SPANAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3098,3000,3999,Reserved for private use,True,,,,,ASIANA AIR,,Asiana Airlines,ASIANA,ASIANA AIRLINES,3098,ASIANA AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3099,3000,3999,Reserved for private use,True,,CATHAY PACIFIC,,,CATHAYPACAIR,,Cathay Pacific,CATHAYPA,CATHAY PACIFIC,3099,CATHAY PACIFIC,,,PASSENGER TRANSPORT SERVICES - AIR
3100,3000,3999,Reserved for private use,True,,MALAYSIAN AIRLINE SYSTEM,,,MALAY AIR,,Malaysian Airline System,MALAY AI,MALAYSIAN AIRLINE SYSTEM,3100,MALAYSIAN AIRLINE SYSTEM,,,PASSENGER TRANSPORT SERVICES - AIR
3101,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3102,3000,3999,Reserved for private use,True,,IBERIA,,,IBERIA AIR,,Iberia,IBERIA,IBERIA,3102,IBERIA,,,PASSENGER TRANSPORT SERVICES - AIR
3103,3000,3999,Reserved for private use,True,,GARUDA (INDONESIA),,,GARUDA AIR,,Garuda (Indonesia),GARUDA,GARUDA (INDONESIA),3103,GARUDA (INDONESIA),,,PASSENGER TRANSPORT SERVICES - AIR
3104,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3105,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3106,3000,3999,Reserved for private use,True,,BRAATHENS S.A.F.E. (NORWAY),,,BRAATHENS,,Braathens S.A.F.E. (Norway),BRAATHEN,BRAATHENS S.A.F.E. (NORWAY),3106,BRAATHENS S.A.F.E. (NORWAY),,,PASSENGER TRANSPORT SERVICES - AIR
3107,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3108,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3109,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3110,3000,3999,Reserved for private use,True,,WINGS AIRWAYS,,,WINGS AIR,,,,WINGS AIRWAYS,3110,WINGS AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3111,3000,3999,Reserved for private use,True,,BRITISH MIDLAND,,,BRMIDLANDAIR,,British Midland,BRITISH M,BRITISH MIDLAND,3111,BRITISH MIDLAND,,,PASSENGER TRANSPORT SERVICES - AIR
3112,3000,3999,Reserved for private use,True,,WINDWARD ISLAND,,,WINDWRDISAIR,,Windward Island,WINDWARD,WINDWARD ISLAND,3112,WINDWARD ISLAND,,,PASSENGER TRANSPORT SERVICES - AIR
3113,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3114,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3115,3000,3999,Reserved for private use,True,,,,,TOWERAIR,,,,TOWER AIR,3115,TOWER AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3116,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3117,3000,3999,Reserved for private use,True,,VIASA,,,VIASA,,Venezolana International de Aviacion,VIASA,VIASA,3117,VIASA,,,PASSENGER TRANSPORT SERVICES - AIR
3118,3000,3999,Reserved for private use,True,,VALLEY AIRLINES,,,VALLEY AIR,,,,VALLEY AIRLINES,3118,VALLEY AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3119,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3120,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3121,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3122,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3123,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3124,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3125,3000,3999,Reserved for private use,True,,TAN,,,TAN AIR,,Tan Airlines,TAN AIR,TAN,3125,TAN,,,PASSENGER TRANSPORT SERVICES - AIR
3126,3000,3999,Reserved for private use,True,,TALAIR,,,TALAIR,,,,TALAIR,3126,TALAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3127,3000,3999,Reserved for private use,True,,TACA INTERNATIONAL,,,TACAINTL AIR,,Taca International,TACA INT,TACA INTERNATIONAL,3127,TACA INTERNATIONAL,,,PASSENGER TRANSPORT SERVICES - AIR
3128,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3129,3000,3999,Reserved for private use,True,,SURINAM AIRWAYS,,,SURINAM AIR,,Surinam Airways,SURINAM,SURINAM AIRWAYS,3129,SURINAM AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3130,3000,3999,Reserved for private use,True,,SUN WORLD INTERNATIONAL,,,SUNWORLD AIR,,Sunworld International Airways,SUNWORLD,SUNWORLD INTERNATIONAL,3130,SUNWORLD INTERNATIONAL,,,PASSENGER TRANSPORT SERVICES - AIR
3131,3000,3999,Reserved for private use,True,,,,,VLM AIR,,VLM Airlines,VLM,VLM AIRLINES,3131,VLM AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3132,3000,3999,Reserved for private use,True,,,,,FRONTIER AIR,,Frontier Airlines,FRONTIER,FRONTIER AIRLINES,3132,FRONTIER AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3133,3000,3999,Reserved for private use,True,,SUNBELT AIRLINES,,,SUNBELT AIR,,,,SUNBELT AIRLINES,3133,SUNBELT AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3134,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3135,3000,3999,Reserved for private use,True,,SUDAN AIRWAYS,,,SUDAN AIR,,,,SUDAN AIRWAYS,3135,SUDAN AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3136,3000,3999,Reserved for private use,True,,,,,QATAR AIR,,Qatar Airways Company W.L.L.,QATAR AIR,QATAR AIRWAYS,3136,QATAR AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3137,3000,3999,Reserved for private use,True,,,,,SINGLETONAIR,,,,SINGLETON,3137,SINGLETON,,,PASSENGER TRANSPORT SERVICES - AIR
3138,3000,3999,Reserved for private use,True,,SIMMONS AIRLINES,,,SIMMONS AIR,,,,SIMMONS AIRLINES,3138,SIMMONS AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3139,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3140,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3141,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3142,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3143,3000,3999,Reserved for private use,True,,SCENIC AIRLINES,,,SCENIC AIR,,,,SCENIC AIRLINES,3143,SCENIC AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3144,3000,3999,Reserved for private use,True,,VIRGIN ATLANTIC,,,VIRGINATLAIR,,Virgin Atlantic,VIR ATL,VIRGIN ATLANTIC,3144,VIRGIN ATLANTIC,,,PASSENGER TRANSPORT SERVICES - AIR
3145,3000,3999,Reserved for private use,True,,SAN JUAN AIRLINES,,,SAN JUAN AIR,,,,,3145,SAN JUAN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3146,3000,3999,Reserved for private use,True,,LUXAIR,,,LUXAIR,,Luxair,LUXAIR,LUXAIR,3146,LUXAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3147,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3148,3000,3999,Reserved for private use,True,,,,,AIRLITTORAL,,"Air Littoral, S.A.",LITTORAL,AIR LITTORAL SA,3148,AIR LITTORAL SA,,,PASSENGER TRANSPORT SERVICES - AIR
3149,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3150,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3151,3000,3999,Reserved for private use,True,,AIR ZAIRE,,,AIR ZAIRE,,Air Zaire,AIRZAIRE,AIR ZAIRE,3151,AIR ZAIRE,,,PASSENGER TRANSPORT SERVICES - AIR
3152,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3153,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3154,3000,3999,Reserved for private use,True,,PRINCEVILLE,,,PRINCVLLEAIR,,,,PRINCEVILLE,3154,PRINCEVILLE,,,PASSENGER TRANSPORT SERVICES - AIR
3155,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3156,3000,3999,Reserved for private use,True,,,,,GOFLY,,GO FLY Ltd.,GOFLY,GO FLY LTD,3156,GO FLY LTD,,,PASSENGER TRANSPORT SERVICES - AIR
3157,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3158,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3159,3000,3999,Reserved for private use,True,,PBA,,,PBA AIRLINE,,Provincetown-Boston Airways,PBA,PBA,3159,PBA,,,PASSENGER TRANSPORT SERVICES - AIR
3160,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3161,3000,3999,Reserved for private use,True,,ALL NIPPON AIRWAYS,,,ANA AIR,,All Nippon Airways,ANAAIR,ALL NIPPON AIRWAYS,3161,ALL NIPPON AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3162,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3163,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3164,3000,3999,Reserved for private use,True,,NORONTAIR,,,NORONTAIR,,Norontair,NORONTAI,NORONTAIR,3164,NORONTAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3165,3000,3999,Reserved for private use,True,,NEW YORK HELICOPTER,,,NY HELI,,,,NEW YORK HELICOPTER,3165,NEW YORK HELICOPTER,,,PASSENGER TRANSPORT SERVICES - AIR
3166,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3167,3000,3999,Reserved for private use,True,,,,,AEROCONTINEN,,Aero Continente,AERO CONT,AEROCONTINENTE,3167,AEROCONTINENTE,,,PASSENGER TRANSPORT SERVICES - AIR
3168,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3169,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3170,3000,3999,Reserved for private use,True,,NOUNT COOK,,,MT COOK AIR,,,,MOUNT COOK,3170,MOUNT COOK,,,PASSENGER TRANSPORT SERVICES - AIR
3171,3000,3999,Reserved for private use,True,,CANADIAN AIRLINES INTERNATIONAL,,,CANADIAN AIR,,Canadian Airlines,CANADIAN,CANADIAN AIRLINES INTERNATIONAL,3171,CANADIAN AIRLINES INTERNATIONAL,,,PASSENGER TRANSPORT SERVICES - AIR
3172,3000,3999,Reserved for private use,True,,NATIONAIR,,,NATIONAIR,,Nation Air,NATIONAI,NATIONAIR,3172,NATIONAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3173,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3174,3000,3999,Reserved for private use,True,,,,,JETBLUE,,JetBlue Airways,JETBLUE,JETBLUE AIRWAYS,3174,JETBLUE AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3175,3000,3999,Reserved for private use,True,,,,,MIDEAST AIR,,Middle East Air,MIDEASTA,MIDDLE EAST AIR,3175,MIDDLE EAST AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3176,3000,3999,Reserved for private use,True,,METROFLIGHT AIRLINES,,,METROFLT AIR,,,,METROFLIGHT AIRLINES,3176,METROFLIGHT AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3177,3000,3999,Reserved for private use,True,,,,,AIRTRANAIR,,AirTran Airways,AIRTRAN A,AIRTRAN AIRWAYS,3177,AIRTRAN AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3178,3000,3999,Reserved for private use,True,,MESA AIR,,,MESA AIR,,Mesa Air,MESA AIR,MESA AIR,3178,MESA AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3179,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3180,3000,3999,Reserved for private use,True,,,,,WESTJETAIR,,Westjet Airlines,WESTJET,WESTJET AIRLINES,3180,WESTJET AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3181,3000,3999,Reserved for private use,True,,MALEV,,,MALEV AIR,,Malev Hungarian Airlines,MALEV,MALEV,3181,MALEV,,,PASSENGER TRANSPORT SERVICES - AIR
3182,3000,3999,Reserved for private use,True,,LOT (POLAND),,,LOT AIR,,LOT - Polish Airlines,LOT,LOT (POLAND),3182,LOT (POLAND),,,PASSENGER TRANSPORT SERVICES - AIR
3183,3000,3999,Reserved for private use,True,,,,,OMANAIR,,Oman Aviation Services,OMAN AIR,OMAN AVIATION SERVICES,3183,OMAN AVIATION SERVICES,,,PASSENGER TRANSPORT SERVICES - AIR
3184,3000,3999,Reserved for private use,True,,LIAT,,,LIAT AIRLINE,,LIAT,LIAT,LIAT,3184,LIAT,,,PASSENGER TRANSPORT SERVICES - AIR
3185,3000,3999,Reserved for private use,True,,LAV (VENEZUELA),,,LAV AIR,,LAV Linea Aeropostal Venezolana,LAV,LAV (VENEZUELA),3185,LAV (VENEZUELA),,,PASSENGER TRANSPORT SERVICES - AIR
3186,3000,3999,Reserved for private use,True,,LAP (PARAGUAY),,,LAP AIR,,LAP Lineas Aereas Paraguayas,LAP,LAP (PARAGUAY),3186,LAP (PARAGUAY),,,PASSENGER TRANSPORT SERVICES - AIR
3187,3000,3999,Reserved for private use,True,,LACSA (COSTA RICA),,,LACSA AIR,,LACSA (Costa Rica),LACSA,LACSA (COSTA RICA),3187,LACSA (COSTA RICA),,,PASSENGER TRANSPORT SERVICES - AIR
3188,3000,3999,Reserved for private use,True,,,,,VIRGINEXPAIR,,Virgin Express,VIR EXP,VIRGIN EXPRESS,3188,VIRGIN EXPRESS,,,PASSENGER TRANSPORT SERVICES - AIR
3189,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3190,3000,3999,Reserved for private use,True,,JUGOSLAV AIR,,,JUGOSLAV AIR,,Jugoslav Air,JUGOSLAV,JUGOSLAV AIR,3190,JUGOSLAV AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3191,3000,3999,Reserved for private use,True,,ISLAND AIRLINES,,,ISLAND AIR,,Island Airlines,ISLANDAI,ISLAND AIRLINES,3191,ISLAND AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3192,3000,3999,Reserved for private use,True,,IRAN AIR,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3193,3000,3999,Reserved for private use,True,,INDIAN AIRLINES,,,INDIAN AIR,,Indian Airlines,INDIAN A,INDIAN AIRLINES,3193,INDIAN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3194,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3195,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3196,3000,3999,Reserved for private use,True,,HAWAIIAN AIR,,,HAWAIIAN AIR,,Hawaiian Air,HAWAIIAN,HAWAIIAN AIR,3196,HAWAIIAN AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3197,3000,3999,Reserved for private use,True,,HAVASU AIRLINES,,,HAVASU AIR,,Havasu Airlines,HAVASUAI,HAVASU AIRLINES,3197,HAVASU AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3198,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3199,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3200,3000,3999,Reserved for private use,True,,FUYANA AIRWAYS,,,GUYANA AIR,,Guyana Airways,GUYANA A,GUYANA AIRWAYS,3200,GUYANA AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3201,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3202,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3203,3000,3999,Reserved for private use,True,,,,,GOLDPAC AIR,,,,GOLDEN PACIFIC AIR,3203,GOLDEN PACIFIC AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3204,3000,3999,Reserved for private use,True,,FREEDOM AIR,,,FREEDOM AIR,,Freedom Airlines,FREEDOM,FREEDOM AIR,3204,FREEDOM AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3205,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3206,3000,3999,Reserved for private use,True,,,,,CHINEASTAIR,,China Eastern Airlines,CHINAEAST,CHINA EASTERN AIRLINES,3206,CHINA EASTERN AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3207,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3208,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3209,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3210,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3211,3000,3999,Reserved for private use,True,,,,,NORWEGIANAIR,,Norwegian Air Shuttle,NORWEGIAN,NORWEGIAN AIR SHUTTLE,3211,NORWEGIAN AIR SHUTTLE,,,PASSENGER TRANSPORT SERVICES - AIR
3212,3000,3999,Reserved for private use,True,,DOMINICANA,,,DOMINICA AIR,,Dominicana de Aviacion,DOMINICA,DOMINICANA,3212,DOMINICANA,,,PASSENGER TRANSPORT SERVICES - AIR
3213,3000,3999,Reserved for private use,True,,,,,BRAATHENS REGIONAL AIR,,Braathens Regional Airlines,BRAATHENS,MALMO AVIATION,3213,BRAATHENS REGIONAL AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3214,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3215,3000,3999,Reserved for private use,True,,DAN AIR SERVICES,,,DANAIRSERV,,,,,3215,DAN AIR SERVICES,,,PASSENGER TRANSPORT SERVICES - AIR
3216,3000,3999,Reserved for private use,True,,CUMBERLAND AIRLINES,,,CUMBERLNDAIR,,,,CUMBERLAND AIRLINES,3216,CUMBERLAND AIRLINES,,,PASSENGER TRANSPORT SERVICES - AIR
3217,3000,3999,Reserved for private use,True,,CSA,,,CSA AIRLINE,,CSA Ceskoslovenske Aerolinie,CSA,CSA,3217,CSA,,,PASSENGER TRANSPORT SERVICES - AIR
3218,3000,3999,Reserved for private use,True,,CROWN AIR,,,CROWN AIR,,,,CROWN AIR,3218,CROWN AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3219,3000,3999,Reserved for private use,True,,COPA,,,COPA AIR,,Compania Panamena de Aviacion (Copa),COPA,COPA,3219,COPA,,,PASSENGER TRANSPORT SERVICES - AIR
3220,3000,3999,Reserved for private use,True,,COMPANIA FAUCETT,,,COMP FAU AIR,,Compania Faucett,COMPANIA,COMPANIA FAUCETT,3220,COMPANIA FAUCETT,,,PASSENGER TRANSPORT SERVICES - AIR
3221,3000,3999,Reserved for private use,True,,TRANSPORTES AEROS MILITARES ECCUATORANOS,,,TAME AIRLINE,,Transportes Aeros Militares Ecuatorianos,TAME AIR,TRANSPORTES AEROS MILITARES ECUATORIANOS,3221,TRANSPORTES AEROS MILITARES ECUATORIANOS,,,PASSENGER TRANSPORT SERVICES - AIR
3222,3000,3999,Reserved for private use,True,,COMMAND AIRWAYS,,,COMMAND AIR,,Command Airways,COMMAND,COMMAND AIRWAYS,3222,COMMAND AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3223,3000,3999,Reserved for private use,True,,COMAIR,,,COMAIR,,Comair,COMAIR,COMAIR,3223,COMAIR,,,PASSENGER TRANSPORT SERVICES - AIR
3224,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3225,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3226,3000,3999,Reserved for private use,True,,,,,SKYWAYS AIR,,Skyways,SKYWAYS,SKYWAYS AIR,3226,SKYWAYS AIR,,,PASSENGER TRANSPORT SERVICES - AIR
3227,,,,,,,,,,,,,,,,,,PASSENGER TRANSPORT SERVICES - AIR
3228,3000,3999,Reserved for private use,True,,CAYMAN AIRWAYS,,,CAYMANAIR,,Cayman Airways,CAYMANAIR,CAYMAN AIRWAYS,3228,CAYMAN AIRWAYS,,,PASSENGER TRANSPORT SERVICES - AIR
3229,3000,3999,Reserved for private use,True,,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,,,SAETA AIR,,SAETA (Sociedad Ecuatorianas De Transportes Aereo),SAETAAIR,SAETA - SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,3229,SAETA – SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,,,PASSENGER TRANSPORT SERVICES - AIR
